Component,Source & Link,Qty,Total Cost (INR),Total Cost (USD)
Gateron Yellow Mechanical Switches,Amazon.in (70-pack),61,"2,400",$25
PBT Dye-sublimated Keycaps (Black),neomacro.in,61,"2,550",$30
Kailh Hot-swap Sockets,neomacro.in,61,"1,275",$15
Rotary Encoders,neomacro.in,2,340,$4
Encoder Knobs,neomacro.in,2,170,$2
0.91â€³ OLED Screen Module,Amazon.in,1,600,$8
Custom PCB (5 pcs),JLCPCB via EasyEDA,5,"2,550",$30
Arduino Pro Micro,Amazon.in,1,850,$10
"Diode Kit (100 pcs, 1N4148)",Amazon.in,1,85,$1
Shipping (PCBs),JLCPCB,1,425,$5
,,,,
,,,,
Total,,,,$130
